Collection Id,Creation date,End Hour,End Hour Id,High Value Shift,Modification date,Number of Collector in this Shift,Primary key,Start Hour,Start Hour Id
1,01/12/2016 11:04,13:00,21,0,01/12/2016 11:04,0,613934,13:00,13
2,01/12/2016 12:12,17:00,37,0,01/12/2016 12:12,0,613964,17:00,33
3,12/08/2016 10:57,13:00,21,0,01/12/2016 13:43,0,530414,13:00,17
3,01/12/2016 13:43,14:00,25,0,01/12/2016 13:43,0,613994,14:00,21
4,01/12/2016 14:25,10:00,9,0,01/12/2016 14:25,0,614024,10:00,5
4,01/12/2016 14:26,11:00,13,0,01/12/2016 14:26,0,614054,11:00,9
4,01/12/2016 14:26,13:00,21,0,01/12/2016 14:26,0,614084,13:00,13
4,01/12/2016 14:26,14:00,25,0,01/12/2016 14:26,0,614025,14:00,21
4,01/12/2016 14:26,16:00,33,0,01/12/2016 14:26,0,613995,16:00,25
4,01/12/2016 14:27,18:00,41,0,01/12/2016 14:27,0,614055,18:00,33
5,01/12/2016 14:59,10:00,9,0,01/12/2016 14:59,0,614114,10:00,5
5,01/12/2016 14:59,11:00,13,0,01/12/2016 14:59,0,614144,11:00,9
5,01/12/2016 14:59,12:00,17,0,01/12/2016 14:59,0,614174,12:00,13
